FORMA,MODELO,VALOR (Em Reais),BAIRRO,REGIÃO,IMOBILIARIA
Venda,apartamento 1 dormitório,"130.000,00",Jardim São Dimas,Central,Executiva
Venda,apartamento 1 dormitório,"148.000,00",Jardim Morumbi,Sul,Brasil
Venda,apartamento 1 dormitório,"160.000,00",Jardim São Dimas,Central,Brasil
Venda,apartamento 1 dormitório,"160.000,00",Centro,Central,Celeste
Venda,apartamento 1 dormitório,"160.000,00",Jardim São Dimas,Central,Terra
Venda,apartamento 1 dormitório,"160.000,00",Vila Betania,Central,Kogake
Venda,apartamento 1 dormitório,"170.000,00",Vila Adyana,Central,Piramide
Venda,apartamento 1 dormitório,"180.000,00",Jardim Esplanada,Oeste,Brasil
Venda,apartamento 1 dormitório,"182.000,00",Vila Adyana,Central,Terra
Venda,apartamento 1 dormitório,"185.000,00",Jardim São Dimas,Central,Celeste
Venda,apartamento 1 dormitório,"190.000,00",Jardim Aquárius,Oeste,Kogake
Venda,apartamento 1 dormitório,"240.000,00",Jardim Aquárius,Oeste,Piramide
Venda,apartamento 1 dormitório,"285.000,00",Jardim Esplanada 2,Oeste,Independence
Venda,apartamento 2 dormitórios,"113.000,00",Vila Industrial,Leste,Piramide
Venda,apartamento 2 dormitórios,"115.000,00",Bosque dos Eucaliptos,Sul,Piramide
Venda,apartamento 2 dormitórios,"115.000,00",Jardim Satélite,Sul,Piramide
Venda,apartamento 2 dormitórios,"115.000,00",Bosque dos Eucaliptos,Sul,Piramide
Venda,apartamento 2 dormitórios,"125.000,00",Vila Industrial,Leste,Alexandre
Venda,apartamento 2 dormitórios,"125.000,00",Jadim Vale do Sol,Sul,Elite
Venda,apartamento 2 dormitórios,"148.000,00",Vista Verde,Leste,Ideal
Venda,apartamento 2 dormitórios,"129.000,00",Parque Industrial,Sul,Piramide
Venda,apartamento 2 dormitórios,"135.000,00",Parque Industrial,Sul,Geração
Venda,apartamento 2 dormitórios,"138.000,00",São Judas Tadeu,Sudeste,Alexandre
Venda,apartamento 2 dormitórios,"138.000,00",Alto da Ponte,Norte,Celeste
Venda,apartamento 2 dormitórios,"140.000,00",Jardim América,Sul,Elite
Venda,apartamento 2 dormitórios,"140.000,00",Jardim América,Sul,Elite
Venda,apartamento 2 dormitórios,"140.000,00",Conjunto Residencial 31 de Março,Sul,Independence
Venda,apartamento 2 dormitórios,"140.000,00",Jardim Paulista,Central,Independence
Venda,apartamento 2 dormitórios,"144.000,00",Jardim Morumbi,Sul,Terra
Venda,apartamento 2 dormitórios,"145.000,00",Jardim América,Sul,Terra
Venda,apartamento 2 dormitórios,"147.000,00",Monte Castelo,Leste,Executiva
Venda,apartamento 2 dormitórios,"149.000,00",Floradas de São José,Sul,Brasil
Venda,apartamento 2 dormitórios,"150.000,00",Monte Castelo,Leste,Alexandre
Venda,apartamento 2 dormitórios,"150.000,00",Santana,Norte,Elite
Venda,apartamento 2 dormitórios,"150.000,00",Parque Industrial,Sul,Elite
Venda,apartamento 2 dormitórios,"150.000,00",Jardim Diamente,Leste,Executiva
Venda,apartamento 2 dormitórios,"150.000,00",Bosque dos Eucaliptos,Sul,Ideal
Venda,apartamento 2 dormitórios,"150.000,00",Jardim Americano,Leste,Ideal
Venda,apartamento 2 dormitórios,"150.000,00",Jardim América,Sul,Piramide
Venda,apartamento 2 dormitórios,"150.000,00",Jardim América,Sul,Piramide
Venda,apartamento 2 dormitórios,"150.000,00",Jardim América,Sul,Piramide
Venda,apartamento 2 dormitórios,"170.000,00",Jardim Satélite,Sul,Brasil
Venda,apartamento 2 dormitórios,"159.000,00",Jardim Morumbi,Sul,Brasil
Venda,apartamento 2 dormitórios,"160.000,00",Jardim América,Sul,Brasil
Venda,apartamento 2 dormitórios,"160.000,00",Jardim América,Sul,Elite
Venda,apartamento 2 dormitórios,"160.000,00",Jardim Oriente,Sul,Elite
Venda,apartamento 2 dormitórios,"160.000,00",Parque Industrial,Sul,Executiva
Venda,apartamento 2 dormitórios,"160.000,00",Parque Industrial,Sul,Executiva
Venda,apartamento 2 dormitórios,"160.000,00",Jardim Satélite,Sul,Independence
Venda,apartamento 2 dormitórios,"160.000,00",Jardim Satélite,Sul,Kogake
Venda,apartamento 2 dormitórios,"160.000,00",Floradas de São José,Sul,Piramide
Venda,apartamento 2 dormitórios,"165.000,00",Jardim Valparaiba,Leste,Alexandre
Venda,apartamento 2 dormitórios,"165.000,00",Jardim Cerejeiras,Leste,Alexandre
Venda,apartamento 2 dormitórios,"165.000,00",Vila Tatetuba,Leste,Ideal
Venda,apartamento 2 dormitórios,"165.000,00",Floradas de São José,Sul,Independence
Venda,apartamento 2 dormitórios,"170.000,00",Vila Industrial,Leste,Alexandre
Venda,apartamento 2 dormitórios,"170.000,00",Jardim Morumbi,Sul,Brasil
Venda,apartamento 2 dormitórios,"170.000,00",Monte Castelo,Leste,Elite
Venda,apartamento 2 dormitórios,"170.000,00",Vila São Bento,Sul,Geração
Venda,apartamento 2 dormitórios,"170.000,00",Parque Industrial,Sul,Independence
Venda,apartamento 2 dormitórios,"170.000,00",Parque Industrial,Sul,Vasconcelos
Venda,apartamento 2 dormitórios,"175.000,00",Floradas de São José,Sul,Elite
Venda,apartamento 2 dormitórios,"175.000,00",Urbanova,Oeste,Piramide
Venda,apartamento 2 dormitórios,"180.000,00",Jardim Oriente,Sul,Brasil
Venda,apartamento 2 dormitórios,"180.000,00",Jardim Satélite,Sul,Celeste
Venda,apartamento 2 dormitórios,"180.000,00",Centro,Central,Celeste
Venda,apartamento 2 dormitórios,"180.000,00",Vila Tatetuba,Leste,Geração
Venda,apartamento 2 dormitórios,"182.809,50",Urbanova,Oeste,Ferreirinha
Venda,apartamento 2 dormitórios,"180.000,00",Jardim Sul,Sul,Elite
Venda,apartamento 2 dormitórios,"180.000,00",Monte Castelo,Leste,Ideal
Venda,apartamento 2 dormitórios,"185.000,00",Floradas de São José,Sul,Celeste
Venda,apartamento 2 dormitórios,"180.000,00",Palmeiras de São José,Sul,Elite
Venda,apartamento 2 dormitórios,"180.000,00",Monte Castelo,Leste,Kogake
Venda,apartamento 2 dormitórios,"185.000,00",Vila Betania,Central,Executiva
Venda,apartamento 2 dormitórios,"180.000,00",Jardim Maringá,Central,Executiva
Venda,apartamento 2 dormitórios,"180.000,00",Parque Industrial,Sul,Kogake
Venda,apartamento 2 dormitórios,"186.000,00",Urbanova,Oeste,Executiva
Venda,apartamento 2 dormitórios,"180.000,00",Parque Industrial,Sul,Executiva
Venda,apartamento 2 dormitórios,"180.000,00",Parque Industrial,Sul,Piramide
Venda,apartamento 2 dormitórios,"190.000,00",Jardim Vale do Sol,Sul,Elite
Venda,apartamento 2 dormitórios,"190.000,00",Jardim América,Sul,Elite
Venda,apartamento 2 dormitórios,"195.000,00",Urbanova,Oeste,Vasconcelos
Venda,apartamento 2 dormitórios,"205.000,00",Parque Industrial,Sul,Piramide
Venda,apartamento 2 dormitórios,"190.000,00",Floradas de São José,Sul,Ideal
Venda,apartamento 2 dormitórios,"200.000,00",Jardim das Colinas,Oeste,Celeste
Venda,apartamento 2 dormitórios,"210.000,00",Centro,Central,Celeste
Venda,apartamento 2 dormitórios,"195.000,00",Parque Industrial,Sul,Alvorada
Venda,apartamento 2 dormitórios,"200.000,00",Desconhecido,Desconhecido,Elite
Venda,apartamento 2 dormitórios,"210.000,00",Vila Betania,Central,Geração
Venda,apartamento 2 dormitórios,"195.000,00",Parque Industrial,Sul,Executiva
Venda,apartamento 2 dormitórios,"200.000,00",Centro,Central,Ideal
Venda,apartamento 2 dormitórios,"210.000,00",Centro,Central,Geração
Venda,apartamento 2 dormitórios,"195.000,00",Jardim das Industrias,Oeste,Vasconcelos
Venda,apartamento 2 dormitórios,"205.000,00",Parque Industrial,Sul,Ideal
Venda,apartamento 2 dormitórios,"210.000,00",Desconhecido,Desconhecido,Independence
Venda,apartamento 2 dormitórios,"210.000,00",Parque Industrial,Sul,Independence
Venda,apartamento 2 dormitórios,"216.000,00",Jardim São Dimas,Central,Terra
Venda,apartamento 2 dormitórios,"210.000,00",Parque Industrial,Sul,Piramide
Venda,apartamento 2 dormitórios,"220.000,00",Urbanova,Oeste,Alvorada
Venda,apartamento 2 dormitórios,"230.000,00",Centro,Central,Brasil
Venda,apartamento 2 dormitórios,"235.000,00",Parque Industrial,Sul,Alexandre
Venda,apartamento 2 dormitórios,"240.000,00",Vila Ema,Oeste,Piramide
Venda,apartamento 2 dormitórios,"215.000,00",Jardim América,Sul,Brasil
Venda,apartamento 2 dormitórios,"220.000,00",Jardim Osvaldo Cruz,Central,Executiva
Venda,apartamento 2 dormitórios,"230.000,00",Vila Betania,Central,Executiva
Venda,apartamento 2 dormitórios,"235.000,00",Jardim Motorama,Leste,Alexandre
Venda,apartamento 2 dormitórios,"245.000,00",Jardim América,Sul,Elite
Venda,apartamento 2 dormitórios,"215.000,00",Vila Adyana,Central,Executiva
Venda,apartamento 2 dormitórios,"220.000,00",Parque Industrial,Sul,Geração
Venda,apartamento 2 dormitórios,"230.000,00",Parque Industrial,Sul,Ideal
Venda,apartamento 2 dormitórios,"240.000,00",Floradas de São José,Sul,Ideal
Venda,apartamento 2 dormitórios,"245.000,00",Vila Tatetuba,Leste,Executiva
Venda,apartamento 2 dormitórios,"215.000,00",Jardim das Industrias,Oeste,Geração
Venda,apartamento 2 dormitórios,"225.000,00",Parque Industrial,Sul,Geração
Venda,apartamento 2 dormitórios,"233.000,00",Jardim Motorama,Leste,Alexandre
Venda,apartamento 2 dormitórios,"240.000,00",Floradas de São José,Sul,Independence
Venda,apartamento 2 dormitórios,"245.000,00",Vila Betania,Central,Vasconcelos
Venda,apartamento 2 dormitórios,"250.000,00",Parque Industrial,Sul,Brasil
Venda,apartamento 2 dormitórios,"255.000,00",Jardim Satélite,Sul,Independence
Venda,apartamento 2 dormitórios,"260.000,00",Jardim América,Sul,Independence
Venda,apartamento 2 dormitórios,"250.000,00",Jardim São Dimas,Central,Executiva
Venda,apartamento 2 dormitórios,"259.000,00",Jardim das Industrias,Oeste,Ferreirinha
Venda,apartamento 2 dormitórios,"265.000,00",Vila Tatetuba,Leste,Executiva
Venda,apartamento 2 dormitórios,"250.000,00",Vila Tatetuba,Leste,Ideal
Venda,apartamento 2 dormitórios,"260.000,00",Santana,Norte,Alvorada
Venda,apartamento 2 dormitórios,"270.000,00",Vila Betania,Central,Executiva
Venda,apartamento 2 dormitórios,"255.000,00",Parque Industrial,Sul,Elite
Venda,apartamento 2 dormitórios,"260.000,00",Jardim Satélite,Sul,Executiva
Venda,apartamento 2 dormitórios,"270.000,00",Jardim Aquárius,Oeste,Geração
Venda,apartamento 2 dormitórios,"255.000,00",Jardim Satélite,Sul,Independence
Venda,apartamento 2 dormitórios,"260.000,00",Santana,Norte,Geração
Venda,apartamento 2 dormitórios,"275.000,00",Jardim Maringá,Central,Vasconcelos
Venda,apartamento 2 dormitórios,"280.000,00",Jardim São Dimas,Central,Brasil
Venda,apartamento 2 dormitórios,"295.000,00",Jardim Aquárius,Oeste,Piramide
Venda,apartamento 2 dormitórios,"320.000,00",Jardim Aquárius,Oeste,Executiva
Venda,apartamento 2 dormitórios,"290.000,00",Vila Ema,Oeste,Executiva
Venda,apartamento 2 dormitórios,"298.000,00",Jardim das Industrias,Oeste,Terra
Venda,apartamento 2 dormitórios,"320.000,00",Jardim Aquárius,Oeste,Terra
Venda,apartamento 2 dormitórios,"290.000,00",Jardim Aquárius,Oeste,Geração
Venda,apartamento 2 dormitórios,"310.000,00",Jardim Aquárius,Oeste,Geração
Venda,apartamento 2 dormitórios,"320.000,00",Jardim Aquárius,Oeste,Kogake
Venda,apartamento 2 dormitórios,"300.000,00",Jardim Esplanada,Oeste,Vasconcelos
Venda,apartamento 2 dormitórios,"330.000,00",Jardim São Dimas,Central,Ideal
Venda,apartamento 2 dormitórios,"325.000,00",Vila Adyana,Central,Celeste
Venda,apartamento 2 dormitórios,"295.000,00",Jardim Aquárius,Oeste,Ferreirinha
Venda,apartamento 2 dormitórios,"310.000,00",Jardim Aquárius,Oeste,Independence
Venda,apartamento 2 dormitórios,"328.000,00",Floradas de São José,Sul,Independence
Venda,apartamento 2 dormitórios,"330.000,00",Jardim Aquárius,Oeste,Celeste
Venda,apartamento 2 dormitórios,"340.000,00",Jardim Esplanada II,Oeste,Vasconcelos
Venda,apartamento 2 dormitórios,"382.000,00",Jardim Alvorada,Oeste,Brasil
Venda,apartamento 2 dormitórios,"330.000,00",Jardim Aquárius,Oeste,Executiva
Venda,apartamento 2 dormitórios,"350.000,00",Jardim Maringá,Central,Geração
Venda,apartamento 2 dormitórios,"402.000,00",Jardim Aquárius,Oeste,Brasil
Venda,apartamento 2 dormitórios,"330.000,00",Vila Adyana,Central,Vasconcelos
Venda,apartamento 2 dormitórios,"350.000,00",Jardim Aquárius,Oeste,Terra
Venda,apartamento 2 dormitórios,"460.000,00",Royal Park,Oeste,Brasil
Venda,apartamento 2 dormitórios,"340.000,00",Jardim Aquárius,Oeste,Executiva
Venda,apartamento 2 dormitórios,"360.000,00",Jardim Aquárius,Oeste,Terra
Venda,apartamento 2 dormitórios,"1.200.000,00",Jardim Aquárius,Oeste,Brasil
Venda,apartamento 2 dormitórios,"340.000,00",Jardim Aquárius,Oeste,Geração
Venda,apartamento 2 dormitórios,"370.000,00",Vila Adyana,Central,Vasconcelos
Venda,apartamento 3 dormitórios,"130.000,00",Monte Castelo,Leste,Celeste
Venda,apartamento 3 dormitórios,"150.000,00",Jardim Americano,Leste,Celeste
Venda,apartamento 3 dormitórios,"180.000,00",Parque Nova Esperança,Leste,Alexandre
Venda,apartamento 3 dormitórios,"185.000,00",Floradas de São José,Sul,Piramide
Venda,apartamento 3 dormitórios,"200.000,00",Conjunto Residencial 31 de Março,Sul,Alexandre
Venda,apartamento 3 dormitórios,"200.000,00",Jardim América,Sul,Independence
Venda,apartamento 3 dormitórios,"170.000,00",Floradas de São José,Sul,Terra
Venda,apartamento 3 dormitórios,"180.000,00",Jardim Morumbi,Sul,Ideal
Venda,apartamento 3 dormitórios,"185.312,00",Vila Industrial,Leste,Elite
Venda,apartamento 3 dormitórios,"200.000,00",Jardim América,Sul,Brasil
Venda,apartamento 3 dormitórios,"200.000,00",Jardim Satélite,Sul,Kogake
Venda,apartamento 3 dormitórios,"178.000,00",Floradas de São José,Sul,Terra
Venda,apartamento 3 dormitórios,"180.000,00",Jardim Morumbi,Sul,Piramide
Venda,apartamento 3 dormitórios,"190.000,00",Centro,Central,Celeste
Venda,apartamento 3 dormitórios,"200.000,00",Vila Ema,Central,Brasil
Venda,apartamento 3 dormitórios,"200.000,00",Vila Ema,Central,Piramide
Venda,apartamento 3 dormitórios,"180.000,00",Monte Castelo,Leste,Alexandre
Venda,apartamento 3 dormitórios,"185.000,00",Vila do Tesouro,Leste,Alexandre
Venda,apartamento 3 dormitórios,"190.000,00",Jardim Satélite,Sul,Piramide
Venda,apartamento 3 dormitórios,"200.000,00",Jardim Ismênia,Leste,Ideal
Venda,apartamento 3 dormitórios,"210.000,00",Jardim Osvaldo Cruz,Central,Ferreirinha
Venda,apartamento 3 dormitórios,"210.000,00",Centro,Central,Ideal
Venda,apartamento 3 dormitórios,"220.000,00",Monte Castelo,Leste,Brasil
Venda,apartamento 3 dormitórios,"230.000,00",Monte Castelo,Leste,Celeste
Venda,apartamento 3 dormitórios,"210.000,00",Jardim das Industrias,Oeste,Independence
Venda,apartamento 3 dormitórios,"220.000,00",Jardim Bela Vista,Central,Brasil
Venda,apartamento 3 dormitórios,"234.000,00",Vista Verde,Leste,Ideal
Venda,apartamento 3 dormitórios,"210.000,00",Jardim Topazio,Sul,Piramide
Venda,apartamento 3 dormitórios,"220.000,00",Centro,Central,Celeste
Venda,apartamento 3 dormitórios,"235.000,00",Vila Industrial,Leste,Alvorada
Venda,apartamento 3 dormitórios,"212.000,00",Jardim Paulista,Central,Piramide
Venda,apartamento 3 dormitórios,"225.000,00",Jardim América,Sul,Elite
Venda,apartamento 3 dormitórios,"235.000,00",Centro,Central,Executiva
Venda,apartamento 3 dormitórios,"215.000,00",Jardim Morumbi,Sul,Piramide
Venda,apartamento 3 dormitórios,"225.000,00",Residencial Ana Maria,Leste,Executiva
Venda,apartamento 3 dormitórios,"239.000,00",Jardim América,Sul,Piramide
Venda,apartamento 3 dormitórios,"240.000,00",Jardim Osvaldo Cruz,Central,Vasconcelos
Venda,apartamento 3 dormitórios,"250.000,00",Jardim Oriente,Sul,Independence
Venda,apartamento 3 dormitórios,"260.000,00",Jardim Satélite,Sul,Geração
Venda,apartamento 3 dormitórios,"242.000,00",Vila Betania,Central,Piramide
Venda,apartamento 3 dormitórios,"250.000,00",Parque Industrial,Sul,Piramide
Venda,apartamento 3 dormitórios,"260.000,00",Vila Adyana,Central,Vasconcelos
Venda,apartamento 3 dormitórios,"245.000,00",Jardim Augusta,Central,Alexandre
Venda,apartamento 3 dormitórios,"250.000,00",Parque Industrial,Sul,Piramide
Venda,apartamento 3 dormitórios,"269.000,00",Parque Industrial,Sul,Independence
Venda,apartamento 3 dormitórios,"245.000,00",Parque Industrial,Sul,Piramide
Venda,apartamento 3 dormitórios,"260.000,00",Jardim América,Sul,Executiva
Venda,apartamento 3 dormitórios,"270.000,00",Bosque dos Eucaliptos,Sul,Independence
Venda,apartamento 3 dormitórios,"250.000,00",Jardim América,Sul,Ideal
Venda,apartamento 3 dormitórios,"260.000,00",Vila Adyana,Central,Ferreirinha
Venda,apartamento 3 dormitórios,"275.000,00",Urbanova,Oeste,Ferreirinha
Venda,apartamento 3 dormitórios,"280.000,00",Vila Adyana,Central,Celeste
Venda,apartamento 3 dormitórios,"285.000,00",Jardim Aquárius,Oeste,Ferreirinha
Venda,apartamento 3 dormitórios,"298.000,00",Parque Industrial,Sul,Piramide
Venda,apartamento 3 dormitórios,"280.000,00",Jardim Satélite,Sul,Ferreirinha
Venda,apartamento 3 dormitórios,"287.000,00",Jardim Ismênia,Leste,Brasil
Venda,apartamento 3 dormitórios,"300.000,00",Vila Industrial,Leste,Executiva
Venda,apartamento 3 dormitórios,"280.000,00",Jardim das Industrias,Oeste,Geração
Venda,apartamento 3 dormitórios,"290.000,00",Jardim Aquárius,Oeste,Executiva
Venda,apartamento 3 dormitórios,"300.000,00",Jardim Aquárius,Oeste,Geração
Venda,apartamento 3 dormitórios,"280.000,00",Jardim das Industrias,Oeste,Kogake
Venda,apartamento 3 dormitórios,"290.000,00",Jardim Satélite,Sul,Independence
Venda,apartamento 3 dormitórios,"300.000,00",Monte Castelo,Leste,Terra
Venda,apartamento 3 dormitórios,"280.000,00",Parque Industrial,Sul,Vasconcelos
Venda,apartamento 3 dormitórios,"295.000,00",Jardim Aquárius,Oeste,Alvorada
Venda,apartamento 3 dormitórios,"300.000,00",Vila Adyana,Central,Kogake
Venda,apartamento 3 dormitórios,"300.000,00",Vila Adyana,Central,Kogake
Venda,apartamento 3 dormitórios,"320.000,00",Monte Castelo,Leste,Celeste
Venda,apartamento 3 dormitórios,"320.000,00",Vila Adyana,Central,Geração
Venda,apartamento 3 dormitórios,"330.000,00",Jardim Esplanada,Oeste,Executiva
Venda,apartamento 3 dormitórios,"335.000,00",Vila Ema,Central,Piramide
Venda,apartamento 3 dormitórios,"310.000,00",Jardim São Dimas,Central,Brasil
Venda,apartamento 3 dormitórios,"320.000,00",Centro,Central,Celeste
Venda,apartamento 3 dormitórios,"320.000,00",Jardim São Dimas,Central,Piramide
Venda,apartamento 3 dormitórios,"330.000,00",Jardim Aquárius,Oeste,Ferreirinha
Venda,apartamento 3 dormitórios,"340.000,00",Jardim São Dimas,Central,Ferreirinha
Venda,apartamento 3 dormitórios,"310.000,00",Jardim Aquárius,Oeste,Executiva
Venda,apartamento 3 dormitórios,"320.000,00",Jardim Esplanada,Oeste,Executiva
Venda,apartamento 3 dormitórios,"325.000,00",Jardim Aquárius,Oeste,Piramide
Venda,apartamento 3 dormitórios,"330.000,00",Vila Adyana,Central,Kogake
Venda,apartamento 3 dormitórios,"350.000,00",Jardim das Industrias,Oeste,Alvorada
Venda,apartamento 3 dormitórios,"310.000,00",Jardim Satélite,Sul,Independence
Venda,apartamento 3 dormitórios,"320.000,00",Urbanova,Oeste,Ferreirinha
Venda,apartamento 3 dormitórios,"330.000,00",Santana,Norte,Celeste
Venda,apartamento 3 dormitórios,"330.000,00",Jardim Satélite,Sul,Celeste
Venda,apartamento 3 dormitórios,"350.000,00",Jardim América,Sul,Executiva
Venda,apartamento 3 dormitórios,"350.000,00",Urbanova,Oeste,Ferreirinha
Venda,apartamento 3 dormitórios,"350.000,00",Vila Betania,Central,Independence
Venda,apartamento 3 dormitórios,"370.000,00",Jardim Aquárius,Oeste,Terra
Venda,apartamento 3 dormitórios,"350.000,00",Jardim Aquárius,Oeste,Terra
Venda,apartamento 3 dormitórios,"360.000,00",Jardim das Industrias,Oeste,Executiva
Venda,apartamento 3 dormitórios,"380.000,00",Vila Ema,Central,Brasil
Venda,apartamento 3 dormitórios,"350.000,00",Jardim Apolo II,Oeste,Terra
Venda,apartamento 3 dormitórios,"360.000,00",Vila Adyana,Central,Terra
