FORMA,MODELO,VALOR (Em Reais),BAIRRO,REGIÃO,IMOBILIARIA
Venda,apartamento 3 dormitórios,"380.000,00",Vila Adyana,Central,Terra
Venda,apartamento 3 dormitórios,"350.000,00",Jardim Satélite,Sul,Independence
Venda,apartamento 3 dormitórios,"365.000,00",Bosque dos Eucaliptos,Sul,Independence
Venda,apartamento 3 dormitórios,"380.000,00",Vila Adyana,Central,Piramide
Venda,apartamento 3 dormitórios,"350.000,00",Bosque dos Eucaliptos,Sul,Independence
Venda,apartamento 3 dormitórios,"366.000,00",Vila Betania,Central,Executiva
Venda,apartamento 3 dormitórios,"385.000,00",Jardim Aquárius,Oeste,Alexandre
Venda,apartamento 3 dormitórios,"390.000,00",Jardim das Industrias,Oeste,Alvorada
Venda,apartamento 3 dormitórios,"410.000,00",Jardim Aquárius,Oeste,Alvorada
Venda,apartamento 3 dormitórios,"430.000,00",Jardim Aquárius,Oeste,Ferreirinha
Venda,apartamento 3 dormitórios,"390.000,00",Jardim Apolo,Oeste,Executiva
Venda,apartamento 3 dormitórios,"410.000,00",Vila Adyana,Central,Kogake
Venda,apartamento 3 dormitórios,"450.000,00",Jardim das Industrias,Oeste,Alexandre
Venda,apartamento 3 dormitórios,"392.000,00",Jardim Aquárius,Oeste,Ideal
Venda,apartamento 3 dormitórios,"415.000,00",Santana,Norte,Celeste
Venda,apartamento 3 dormitórios,"280.000,00",Vila Ema,Central,Brasil
Venda,apartamento 3 dormitórios,"395.000,00",Jardim Esplanada,Oeste,Brasil
Venda,apartamento 3 dormitórios,"420.000,00",Jardim Aquárius,Oeste,Ideal
Venda,apartamento 3 dormitórios,"450.000,00",Jardim das Industrias,Oeste,Brasil
Venda,apartamento 3 dormitórios,"400.000,00",Jardim Aquárius,Oeste,Geração
Venda,apartamento 3 dormitórios,"420.000,00",Jardim Aquárius,Oeste,Independence
Venda,apartamento 3 dormitórios,"450.000,00",Bosque dos Eucaliptos,Sul,Celeste
Venda,apartamento 3 dormitórios,"450.000,00",Jardim das Industrias,Oeste,Terra
Venda,apartamento 3 dormitórios,"480.000,00",Vila Ema,Central,Geração
Venda,apartamento 3 dormitórios,"520.000,00",Jardim Aquárius,Oeste,Ideal
Venda,apartamento 3 dormitórios,"450.925,00",Floradas de São José,Sul,Independence
Venda,apartamento 3 dormitórios,"480.000,00",Jardim Esplanada II,Oeste,Geração
Venda,apartamento 3 dormitórios,"545.000,00",Vila Adyana,Central,Kogake
Venda,apartamento 3 dormitórios,"460.000,00",Jardim Aquárius,Oeste,Ferreirinha
Venda,apartamento 3 dormitórios,"485.000,00",Jardim Aquárius,Oeste,Geração
Venda,apartamento 3 dormitórios,"550.000,00",Floradas de São José,Sul,Independence
Venda,apartamento 3 dormitórios,"470.000,00",Jardim Satélite,Sul,Alexandre
Venda,apartamento 3 dormitórios,"500.000,00",Jardim das Industrias,Oeste,Executiva
Venda,apartamento 3 dormitórios,"550.000,00",Jardim Aquárius,Oeste,Piramide
Venda,apartamento 3 dormitórios,"475.000,00",Jardim Aquárius,Oeste,Ferreirinha
Venda,apartamento 3 dormitórios,"510.000,00",Jardim Aquárius,Oeste,Alvorada
Venda,apartamento 3 dormitórios,"569.000,00",Jardim das Industrias,Oeste,Independence
Venda,apartamento 3 dormitórios,"580.000,00",Vila Ema,Central,Alvorada
Venda,apartamento 3 dormitórios,"660.000,00",Jardim Esplanada,Oeste,Kogake
Venda,apartamento 3 dormitórios,"700.000,00",Vila Ema,Central,Vasconcelos
Venda,apartamento 3 dormitórios,"580.000,00",Bosque dos Eucaliptos,Sul,Celeste
Venda,apartamento 3 dormitórios,"660.000,00",Jardim Aquárius,Oeste,Vasconcelos
Venda,apartamento 3 dormitórios,"750.000,00",Jardim Aquárius,Oeste,Celeste
Venda,apartamento 3 dormitórios,"600.000,00",Jardim Esplanada,Oeste,Executiva
Venda,apartamento 3 dormitórios,"690.000,00",Vila Adyana,Central,Geração
Venda,apartamento 3 dormitórios,"780.000,00",Vila Ema,Central,Executiva
Venda,apartamento 3 dormitórios,"620.000,00",Jardim Aquárius,Oeste,Kogake
Venda,apartamento 3 dormitórios,"690.000,00",Vila Adyana,Central,Piramide
Venda,apartamento 3 dormitórios,"780.000,00",Vila Ema,Central,Ideal
Venda,apartamento 3 dormitórios,"650.000,00",Jardim São Dimas,Central,Kogake
Venda,apartamento 3 dormitórios,"700.000,00",Vila Ema,Central,Celeste
Venda,apartamento 3 dormitórios,"800.000,00",Vila Ema,Central,Executiva
Venda,apartamento 3 dormitórios,"820.000,00",Jardim Aquárius,Oeste,Alvorada
Venda,apartamento 3 dormitórios,"850.000,00",Urbanova,Oeste,Kogake
Venda,apartamento 3 dormitórios,"910.000,00",Altos do Esplanda,Oeste,Alvorada
Venda,apartamento 3 dormitórios,"915.000,00",Jardim Aquárius,Oeste,Executiva
Venda,apartamento 3 dormitórios,"980.000,00",Jardim das Colinas,Oeste,Terra
Venda,apartamento 4 dormitórios,"370.000,00",Jardim Aquárius,Oeste,Geração
Venda,apartamento 4 dormitórios,"455.000,00",Vila Ema,Central,Piramide
Venda,apartamento 4 dormitórios,"395.000,00",Jardim Aquárius,Oeste,Alexandre
Venda,apartamento 4 dormitórios,"467.000,00",Jardim Satélite,Sul,Alvorada
Venda,apartamento 4 dormitórios,"430.000,00",Bosque dos Eucaliptos,Sul,Piramide
Venda,apartamento 4 dormitórios,"470.000,00",Jardim das Industrias,Oeste,Terra
Venda,apartamento 4 dormitórios,"450.000,00",Centro,Central,Kogake
Venda,apartamento 4 dormitórios,"477.000,00",Vila Ema,Central,Executiva
Venda,apartamento 4 dormitórios,"450.000,00",Jardim das Industrias,Oeste,Alvorada
Venda,apartamento 4 dormitórios,"490.000,00",Jardim Aquárius,Oeste,Geração
Venda,apartamento 4 dormitórios,"500.000,00",Jardim Aquárius,Oeste,Alvorada
Venda,apartamento 4 dormitórios,"560.000,00",Vila Adyana,Central,Geração
Venda,apartamento 4 dormitórios,"720.000,00",Jardim Esplanda,Oeste,Executiva
Venda,apartamento 4 dormitórios,"520.000,00",Jardim das Industrias,Oeste,Alvorada
Venda,apartamento 4 dormitórios,"570.000,00",Vila Ema,Central,Executiva
Venda,apartamento 4 dormitórios,"750.000,00",Jardim Aquárius,Oeste,Independence
Venda,apartamento 4 dormitórios,"530.000,00",Jardim Aquárius,Oeste,Alvorada
Venda,apartamento 4 dormitórios,"650.000,00",Jardim Aquárius,Oeste,Celeste
Venda,apartamento 4 dormitórios,"760.000,00",Jardim Aquárius,Oeste,Ferreirinha
Venda,apartamento 4 dormitórios,"545.000,00",Jardim das Industrias,Oeste,Ferreirinha
Venda,apartamento 4 dormitórios,"650.000,00",Vila Ema,Central,Ferreirinha
Venda,apartamento 4 dormitórios,"820.000,00",Floradas da Serra,Oeste,Ferreirinha
Venda,apartamento 4 dormitórios,"550.000,00",Jardim Aquárius,Oeste,Geração
Venda,apartamento 4 dormitórios,"650.000,00",Vila Adyana,Central,Geração
Venda,apartamento 4 dormitórios,"850.000,00",Jardim Aquárius,Oeste,Ferreirinha
Venda,apartamento 4 dormitórios,"850.000,00",Jardim Aquárius,Oeste,Ferreirinha
Venda,apartamento 4 dormitórios,"850.000,00",Vila Adyana,Central,Terra
Venda,apartamento 4 dormitórios,"950.000,00",Vila Ema,Central,Geração
Venda,apartamento 4 dormitórios,"1.060.000,00",Jardim das Colinas,Oeste,Piramide
Venda,apartamento 4 dormitórios,"1.200.000,00",Vila Adyana,Central,Geração
Venda,apartamento 4 dormitórios,"1.280.000,00",Jardim Aquárius,Oeste,Ferreirinha
Venda,apartamento 4 dormitórios,"1.340.000,00",Jardim Aquárius,Oeste,Alexandre
Venda,apartamento 4 dormitórios,"1.600.000,00",Vila Ema,Central,Piramide
Venda,apartamento cobertura,"310.000,00",Parque Industrial,Sul,Independence
Venda,apartamento cobertura,"430.000,00",Jardim Aquárius,Oeste,Independence
Venda,apartamento cobertura,"450.000,00",Centro,Central,Celeste
Venda,apartamento cobertura,"460.000,00",Jardim Aquárius,Oeste,Geração
Venda,apartamento cobertura,"800.000,00",Vila Ema,Central,Vasconcelos
Venda,apartamento cobertura,"1.500.000,00",Vila Ema,Central,Geração
Venda,apartamento cobertura,"1.590.000,00",Jardim Aquárius,Oeste,Brasil
Venda,apartamento cobertura,"1.800.000,00",Vila Ema,Central,Terra
Venda,casa 2 dormitórios,"165.000,00",Eugenio de Melo,Leste,Alexandre
Venda,casa 2 dormitórios,"205.000,00",Bosque dos Ypes,Sul,Independence
Venda,casa 2 dormitórios,"215.000,00",Vila Tatetuba,Leste,Ideal
Venda,casa 2 dormitórios,"235.000,00",Bosque dos Ypes,Sul,Independence
Venda,casa 2 dormitórios,"140.000,00",Jardim Santa Júlia,Sudeste,Alexandre
Venda,casa 2 dormitórios,"170.000,00",Jardim Santa Ines I,Leste,Ideal
Venda,casa 2 dormitórios,"208.000,00",Bosque dos Eucaliptos,Sul,Independence
Venda,casa 2 dormitórios,"218.000,00",Jardim Ismênia,Leste,Alexandre
Venda,casa 2 dormitórios,"240.000,00",Jardim Morumbi,Sul,Independence
Venda,casa 2 dormitórios,"143.000,00",Jardim Santa Júlia,Sudeste,Independence
Venda,casa 2 dormitórios,"175.000,00",Residencial São Francisco,Sudeste,Executiva
Venda,casa 2 dormitórios,"210.000,00",Jardim Satélite,Sul,Brasil
Venda,casa 2 dormitórios,"230.000,00",Jardim Bela Vista,Central,Celeste
Venda,casa 2 dormitórios,"240.000,00",Jardim Alvorada,Oeste,Piramide
Venda,casa 2 dormitórios,"160.000,00",Jardim dos Bandeirantes,Central,Elite
Venda,casa 2 dormitórios,"190.000,00",Desconhecido,Desconhecido,Independence
Venda,casa 2 dormitórios,"210.000,00",Parque Industrial,Sul,Brasil
Venda,casa 2 dormitórios,"230.000,00",De Ville,Sul,Ideal
Venda,casa 2 dormitórios,"250.000,00",Jardim das Industrias,Oeste,Alvorada
Venda,casa 2 dormitórios,"161.000,00",Jardim Santa Júlia,Sudeste,Executiva
Venda,casa 2 dormitórios,"198.000,00",Jardim Petrópolis,Sul,Piramide
Venda,casa 2 dormitórios,"215.000,00",Jardim das Industrias,Oeste,Alvorada
Venda,casa 2 dormitórios,"230.000,00",Jardim das Industrias,Oeste,Kogake
Venda,casa 2 dormitórios,"250.000,00",Jardim Motorama,Leste,Ideal
Venda,casa 2 dormitórios,"250.000,00",Jardim das Industrias,Oeste,Kogake
Venda,casa 2 dormitórios,"270.000,00",Jardim Satélite,Sul,Independence
Venda,casa 2 dormitórios,"310.000,00",Jardim das Flores,Sul,Alexandre
Venda,casa 2 dormitórios,"260.000,00",Jardim das Industrias,Oeste,Alvorada
Venda,casa 2 dormitórios,"270.000,00",Jardim das Industrias,Oeste,Piramide
Venda,casa 2 dormitórios,"314.000,00",Jardim Uirá,Sudeste,Kogake
Venda,casa 2 dormitórios,"265.000,00",Jardim Ismênia,Leste,Alexandre
Venda,casa 2 dormitórios,"280.000,00",Jardim das Industrias,Oeste,Kogake
Venda,casa 2 dormitórios,"380.000,00",Vila Betania,Central,Brasil
Venda,casa 2 dormitórios,"265.000,00",Jardim das Industrias,Oeste,Alvorada
Venda,casa 2 dormitórios,"280.000,00",Jardim das Industrias,Oeste,Vasconcelos
Venda,casa 2 dormitórios,"500.000,00",Jardim Torrão de Ouro,Sul,Kogake
Venda,casa 2 dormitórios,"270.000,00",Jardim Vale do Sol,Sul,Elite
Venda,casa 2 dormitórios,"290.000,00",Jardim Oriente,Sul,Piramide
Venda,casa 2 dormitórios,"750.000,00",Desconhecido,Desconhecido,Alvorada
Venda,casa 3 dormitórios,"160.000,00",Santa Ines I,Leste,Alexandre
Venda,casa 3 dormitórios,"180.000,00",Jardim Nova Flórida,Leste,Ideal
Venda,casa 3 dormitórios,"220.000,00",Altos do Bosque,Sul,Vasconcelos
Venda,casa 3 dormitórios,"238.000,00",Monte Castelo,Leste,Alexandre
Venda,casa 3 dormitórios,"250.000,00",Monte Castelo,Leste,Vasconcelos
Venda,casa 3 dormitórios,"160.000,00",Residencial Righi,Leste,Ideal
Venda,casa 3 dormitórios,"185.850,07",Parque Ypes,Sul,Executiva
Venda,casa 3 dormitórios,"230.000,00",Vila Maria,Central,Celeste
Venda,casa 3 dormitórios,"240.000,00",Vila Industrial,Leste,Alexandre
Venda,casa 3 dormitórios,"265.000,00",Jardim Morumbi,Sul,Alvorada
Venda,casa 3 dormitórios,"160.000,00",Jardim Santa Júlia,Sudeste,Ideal
Venda,casa 3 dormitórios,"200.000,00",Campo dos Alemães,Sul,Elite
Venda,casa 3 dormitórios,"230.000,00",Vila do Tesouro,Leste,Ideal
Venda,casa 3 dormitórios,"240.000,00",Residencial União,Sul,Elite
Venda,casa 3 dormitórios,"265.000,00",Vila Tatetuba,Leste,Ideal
Venda,casa 3 dormitórios,"162.000,00",Dom Pedro I,Sul,Executiva
Venda,casa 3 dormitórios,"210.000,00",Jardim Colonial,Sul,Elite
Venda,casa 3 dormitórios,"233.000,00",Eugenio de Melo,Leste,Ideal
Venda,casa 3 dormitórios,"250.000,00",Bosque Ypes,Sul,Elite
Venda,casa 3 dormitórios,"269.000,00",Bosque dos Ypes,Sul,Independence
Venda,casa 3 dormitórios,"165.000,00",Santa Ines I,Leste,Alexandre
Venda,casa 3 dormitórios,"213.000,00",Parque Industrial,Sul,Terra
Venda,casa 3 dormitórios,"235.000,00",Vila Industrial,Leste,Alexandre
Venda,casa 3 dormitórios,"250.000,00",Bosque Ypes,Sul,Elite
Venda,casa 3 dormitórios,"275.000,00",Parque Ypes,Sul,Elite
Venda,casa 3 dormitórios,"276.000,00",Jardim América,Sul,Elite
Venda,casa 3 dormitórios,"300.000,00",Vila Tatetuba,Leste,Alexandre
Venda,casa 3 dormitórios,"320.000,00",Vila Tatetuba,Leste,Alexandre
Venda,casa 3 dormitórios,"280.000,00",Vila Ester,Leste,Alexandre
Venda,casa 3 dormitórios,"300.000,00",Jardim das Industrias,Oeste,Alvorada
Venda,casa 3 dormitórios,"320.000,00",Jardim das Industrias,Oeste,Alvorada
Venda,casa 3 dormitórios,"280.000,00",Bosque dos Eucaliptos,Sul,Brasil
Venda,casa 3 dormitórios,"300.000,00",Vista Verde,Leste,Celeste
Venda,casa 3 dormitórios,"320.000,00",Conjunto Residencial 31 de Março,Sul,Elite
Venda,casa 3 dormitórios,"285.000,00",Portal de Minas,Norte,Celeste
Venda,casa 3 dormitórios,"310.000,00",Jardim Oriente,Sul,Elite
Venda,casa 3 dormitórios,"328.000,00",Jardim Ismênia,Leste,Alexandre
Venda,casa 3 dormitórios,"298.000,00",Bosque dos Eucaliptos,Sul,Independence
Venda,casa 3 dormitórios,"310.000,00",Jardim das Flores,Leste,Ideal
Venda,casa 3 dormitórios,"330.000,00",Bosque dos Eucaliptos,Sul,Independence
Venda,casa 3 dormitórios,"340.000,00",Vista Linda,Leste,Alexandre
Venda,casa 3 dormitórios,"350.000,00",Jardim Oriente,Sul,Celeste
Venda,casa 3 dormitórios,"375.000,00",Bosque dos Eucaliptos,Sul,Ideal
Venda,casa 3 dormitórios,"385.000,00",Vila Industrial,Leste,Alexandre
Venda,casa 3 dormitórios,"400.000,00",Jardim Oriente,Sul,Elite
Venda,casa 3 dormitórios,"340.000,00",Jardim Satélite,Sul,Terra
Venda,casa 3 dormitórios,"360.000,00",Jardim Oriente,Sul,Terra
Venda,casa 3 dormitórios,"378.000,00",Jardim Veneza,Sul,Piramide
Venda,casa 3 dormitórios,"390.000,00",Vila Industrial,Leste,Alexandre
Venda,casa 3 dormitórios,"400.000,00",Vila Betania,Central,Vasconcelos
Venda,casa 3 dormitórios,"345.000,00",Jardim das Industrias,Oeste,Alvorada
Venda,casa 3 dormitórios,"360.000,00",Bosque dos Eucaliptos,Sul,Independence
Venda,casa 3 dormitórios,"380.000,00",Jardim Augusta,Central,Celeste
Venda,casa 3 dormitórios,"390.000,00",Jardim das Industrias,Oeste,Alvorada
Venda,casa 3 dormitórios,"410.000,00",De Ville,Sul,Brasil
Venda,casa 3 dormitórios,"350.000,00",Jardim das Industrias,Oeste,Alvorada
Venda,casa 3 dormitórios,"370.000,00",Jardim das Industrias,Oeste,Alvorada
Venda,casa 3 dormitórios,"380.000,00",Bosque Ypes,Sul,Terra
Venda,casa 3 dormitórios,"390.000,00",Vista Verde,Leste,Brasil
Venda,casa 3 dormitórios,"420.000,00",Vista Linda,Leste,Celeste
Venda,casa 3 dormitórios,"350.000,00",Jardim das Industrias,Oeste,Alvorada
Venda,casa 3 dormitórios,"375.000,00",Vista Linda,Leste,Celeste
Venda,casa 3 dormitórios,"380.000,00",Jardim Augusta,Central,Ideal
Venda,casa 3 dormitórios,"390.000,00",Monte Castelo,Leste,Terra
Venda,casa 3 dormitórios,"420.000,00",Vista Verde,Leste,Piramide
Venda,casa 3 dormitórios,"425.000,00",Parque Industrial,Sul,Elite
Venda,casa 3 dormitórios,"435.000,00",Jardim das Industrias,Oeste,Alvorada
Venda,casa 3 dormitórios,"450.000,00",Bosque dos Eucaliptos,Sul,Piramide
Venda,casa 3 dormitórios,"425.000,00",Jardim América,Sul,Geração
Venda,casa 3 dormitórios,"440.000,00",Urbanova,Oeste,Terra
Venda,casa 3 dormitórios,"455.000,00",Jardim Ismenia,Leste,Alexandre
Venda,casa 3 dormitórios,"425.000,00",Vista Verde,Leste,Ideal
Venda,casa 3 dormitórios,"440.000,00",Jardim Satélite,Sul,Terra
Venda,casa 3 dormitórios,"480.000,00",Vista Verde,Leste,Brasil
Venda,casa 3 dormitórios,"430.000,00",Vila Betania,Central,Vasconcelos
Venda,casa 3 dormitórios,"450.000,00",Jardim das Industrias,Oeste,Alvorada
Venda,casa 3 dormitórios,"510.000,00",Vila Industrial,Leste,Brasil
Venda,casa 3 dormitórios,"430.000,00",Vila Betania,Central,Vasconcelos
Venda,casa 3 dormitórios,"450.000,00",Jardim das Industrias,Oeste,Alvorada
Venda,casa 3 dormitórios,"510.000,00",Urbanova,Oeste,Piramide
Venda,casa 3 dormitórios,"530.000,00",Recanto da Serra,Oeste,Geração
Venda,casa 3 dormitórios,"565.000,00",Urbanova,Oeste,Terra
Venda,casa 3 dormitórios,"640.000,00",Jardim Esplanada,Oeste,Piramide
Venda,casa 3 dormitórios,"880.000,00",Altos da Serra II,Oeste,Alvorada
Venda,casa 3 dormitórios,"1.300.000,00",Altos da Serra I,Oeste,Ferreirinha
Venda,casa 3 dormitórios,"530.000,00",Jardim Alvorada,Oeste,Terra
Venda,casa 3 dormitórios,"580.000,00",Altos da Serra VI,Oeste,Alvorada
Venda,casa 3 dormitórios,"640.000,00",Vila Ema,Central,Piramide
Venda,casa 3 dormitórios,"980.000,00",Altos da Serra V,Oeste,Ferreirinha
Venda,casa 3 dormitórios,"1.500.000,00",Esplanada do Sol,Oeste,Alvorada
Venda,casa 3 dormitórios,"535.000,00",Jardim das Industrias,Oeste,Kogake
Venda,casa 3 dormitórios,"600.000,00",Altos da Serra VI,Oeste,Alvorada
Venda,casa 3 dormitórios,"730.000,00",Urbanova,Oeste,Geração
Venda,casa 3 dormitórios,"1.000.000,00",Urbanova,Oeste,Independence
Venda,casa 3 dormitórios,"1.500.000,00",Jardim Aquárius,Oeste,Piramide
Venda,casa 3 dormitórios,"535.000,00",Vila Betania,Central,Vasconcelos
Venda,casa 3 dormitórios,"610.000,00",Altos da Serra IV,Oeste,Terra
Venda,casa 3 dormitórios,"750.000,00",Jardim Apolo II,Oeste,Geração
Venda,casa 3 dormitórios,"1.180.000,00",Altos da Serra V,Oeste,Ferreirinha
Venda,casa 3 dormitórios,"550.000,00",Urbanova,Oeste,Ferreirinha
Venda,casa 3 dormitórios,"630.000,00",Altos da Serra IV,Oeste,Alvorada
Venda,casa 3 dormitórios,"800.000,00",Urbanova,Oeste,Kogake
Venda,casa 3 dormitórios,"1.250.000,00",Vila Ema,Oeste,Kogake
Venda,casa 4 dormitórios,"295.000,00",Jardim América,Sul,Brasil
Venda,casa 4 dormitórios,"300.000,00",Vila Nair,Sul,Celeste
Venda,casa 4 dormitórios,"350.000,00",Jardim Morumbi,Sul,Independence
Venda,casa 4 dormitórios,"480.000,00",Vista Verde,Leste,Ideal
Venda,casa 4 dormitórios,"580.000,00",Jardim das Industrias,Oeste,Kogake
Venda,casa 4 dormitórios,"360.000,00",Conjunto Residencial 31 de Março,Sul,Kogake
Venda,casa 4 dormitórios,"490.000,00",Santana,Norte,Vasconcelos
Venda,casa 4 dormitórios,"585.000,00",Vila Tatetuba,Leste,Alexandre
Venda,casa 4 dormitórios,"400.000,00",Jardim das Industrias,Oeste,Alvorada
Venda,casa 4 dormitórios,"500.000,00",Vista Verde,Leste,Ideal
Venda,casa 4 dormitórios,"600.000,00",Urbanova,Oeste,Celeste
Venda,casa 4 dormitórios,"400.000,00",Jardim Ismenia,Leste,Ideal
Venda,casa 4 dormitórios,"530.000,00",Bosque dos Eucaliptos,Sul,Brasil
Venda,casa 4 dormitórios,"640.000,00",Floradas da Serra,Oeste,Ferreirinha
Venda,casa 4 dormitórios,"300.000,00",Santana,Norte,Kogake
Venda,casa 4 dormitórios,"410.000,00",Jardim das Industrias,Oeste,Alvorada
Venda,casa 4 dormitórios,"425.000,00",Urbanova,Oeste,Ideal
Venda,casa 4 dormitórios,"560.000,00",Altos da Serra VI,Oeste,Ferreirinha
Venda,casa 4 dormitórios,"650.000,00",Vila Ema,Central,Geração
Venda,casa 4 dormitórios,"680.000,00",Urbanova,Oeste,Ideal
Venda,casa 4 dormitórios,"750.000,00",Altos da Serra VI,Oeste,Alvorada
Venda,casa 4 dormitórios,"750.000,00",Jardim Satélite,Sul,Terra
Venda,casa 4 dormitórios,"780.000,00",Jardim Alvorada,Oeste,Alvorada
Venda,casa 4 dormitórios,"800.000,00",Urbanova,Oeste,Independence
Venda,casa 4 dormitórios,"680.000,00",Urbanova,Oeste,Ideal
Venda,casa 4 dormitórios,"750.000,00",Altos da Serra III,Oeste,Ferreirinha
Venda,casa 4 dormitórios,"750.000,00",Urbanova,Oeste,Ideal
Venda,casa 4 dormitórios,"780.000,00",Floradas da Serra,Oeste,Ferreirinha
Venda,casa 4 dormitórios,"848.000,00",Jardim das Industrias,Oeste,Brasil
Venda,casa 4 dormitórios,"700.000,00",Urbanova,Oeste,Ideal
Venda,casa 4 dormitórios,"750.000,00",Portal da Serra,Oeste,Ferreirinha
